date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:08	1655159/1655159	---M--	200	added ('OK')	video/mp4	date:Sun,%2015%20Apr%202018%2011:18:42%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/Save-Contact-to-Phone-Digital-vCard.mp4?_=6	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/Save-Contact-to-Phone-Digital-vCard5f62.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:35:10	39303/39303	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Apr%202018%2015:43:09%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/Click-to-Website-digital-business-card-template.jpg	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/Click-to-Website-digital-business-card-template.jpg	(from https://makemyvcard.com/digital-business-card-features/)
14:35:10	1336085/1336085	---M--	200	added ('OK')	video/mp4	date:Sun,%2015%20Apr%202018%2015:35:36%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/click-on-email-link-digtial-vcard.mp4?_=7	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/click-on-email-link-digtial-vcard1884.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:35:11	1336085/1336085	---M--	200	added ('OK')	video/mp4	date:Sun,%2015%20Apr%202018%2015:35:36%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/click-on-email-link-digtial-vcard.mp4	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/click-on-email-link-digtial-vcard.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:35:11	37414/37414	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Apr%202018%2016:04:02%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/business-card-qr-code-generator.jpg	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/business-card-qr-code-generator.jpg	(from https://makemyvcard.com/digital-business-card-features/)
14:35:12	1297019/1297019	---M--	200	added ('OK')	video/mp4	date:Sun,%2015%20Apr%202018%2015:43:17%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/Click-to-Website-digital-business-card-template.mp4	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/Click-to-Website-digital-business-card-template.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:35:12	29825/29825	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Apr%202018%2016:15:00%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/share-business-card.jpg	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/share-business-card.jpg	(from https://makemyvcard.com/digital-business-card-features/)
14:35:12	1297019/1297019	---M--	200	added ('OK')	video/mp4	date:Sun,%2015%20Apr%202018%2015:43:17%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/Click-to-Website-digital-business-card-template.mp4?_=8	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/Click-to-Website-digital-business-card-templatefa5c.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:35:12	1178171/1178171	---M--	200	added ('OK')	video/mp4	date:Sun,%2015%20Apr%202018%2016:04:07%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/business-card-qr-code.mp4?_=9	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/business-card-qr-codecb89.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:35:13	33318/33318	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Apr%202018%2016:31:43%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/share-digital-vcard-on-whatsapp-and-email.jpg	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/share-digital-vcard-on-whatsapp-and-email.jpg	(from https://makemyvcard.com/digital-business-card-features/)
14:35:13	1102852/1102852	---M--	200	added ('OK')	video/mp4	date:Sun,%2015%20Apr%202018%2016:15:04%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/share-business-card.mp4	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/share-business-card.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:35:13	1102852/1102852	---M--	200	added ('OK')	video/mp4	date:Sun,%2015%20Apr%202018%2016:15:04%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/share-business-card.mp4?_=10	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/share-business-cardde89.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:35:15	11425/11425	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Nov%202019%2012:01:54%20GMT	https://makemyvcard.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.13-9993131	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.minc270.css	(from https://makemyvcard.com/digital-business-card-features/)
14:35:15	1178171/1178171	---M--	200	added ('OK')	video/mp4	date:Sun,%2015%20Apr%202018%2016:04:07%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/business-card-qr-code.mp4	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/business-card-qr-code.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:35:16	4186/4186	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Nov%202019%2012:01:54%20GMT	https://makemyvcard.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=5.3.8	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-includes/js/mediaelement/wp-mediaelement.minb1bb.css	(from https://makemyvcard.com/digital-business-card-features/)
